time,Latitude_B4,Longitude_B4,Latitude_B6,Longitude_B6
2012-03-09 04:00:00,86.33765538531667,-53.09316380815,NaN,NaN
2012-03-09 05:00:00,86.33899656929583,-53.1393162409125,NaN,NaN
2012-03-09 06:00:00,86.340337753275,-53.185468673675004,NaN,NaN
2012-03-09 07:00:00,86.34167893725416,-53.2316211064375,NaN,NaN
2012-03-09 08:00:00,86.34302012123332,-53.2777735392,NaN,NaN
2012-03-09 09:00:00,86.34436130521249,-53.3239259719625,NaN,NaN
2012-03-09 10:00:00,86.34570248919167,-53.370078404725,NaN,NaN
2012-03-09 11:00:00,86.34704367317083,-53.416230837487504,NaN,NaN
2012-03-09 12:00:00,86.34838485715,-53.46238327025,NaN,NaN
2012-03-09 13:00:00,86.34972604112916,-53.5085357030125,NaN,NaN
2012-03-09 14:00:00,86.35106722510832,-53.554688135775,NaN,NaN
2012-03-09 15:00:00,86.3524084090875,-53.6008405685375,NaN,NaN
2012-03-09 16:00:00,86.35374959306667,-53.646993001300004,NaN,NaN
2012-03-09 17:00:00,86.35509077704583,-53.6931454340625,NaN,NaN
2012-03-09 18:00:00,86.356431961025,-53.739297866825,NaN,NaN
2012-03-09 19:00:00,86.35777314500416,-53.7854502995875,NaN,NaN
2012-03-09 20:00:00,86.35911432898332,-53.83160273235,NaN,NaN
2012-03-09 21:00:00,86.36045551296249,-53.877755165112504,NaN,NaN
2012-03-09 22:00:00,86.36179669694167,-53.923907597875,NaN,NaN
2012-03-09 23:00:00,86.36313788092083,-53.970060030637505,NaN,NaN
2012-03-10 00:00:00,86.3644790649,-54.0162124634,NaN,NaN
2012-03-10 01:00:00,86.36360867814166,-53.9822783470375,NaN,NaN
2012-03-10 02:00:00,86.36273829138332,-53.948344230675005,NaN,NaN
2012-03-10 03:00:00,86.361867904625,-53.9144101143125,NaN,NaN
2012-03-10 04:00:00,86.36099751786666,-53.88047599795,NaN,NaN
2012-03-10 05:00:00,86.36012713110833,-53.8465418815875,NaN,NaN
2012-03-10 06:00:00,86.35925674434999,-53.812607765225,NaN,NaN
2012-03-10 07:00:00,86.35838635759166,-53.7786736488625,NaN,NaN
2012-03-10 08:00:00,86.35751597083333,-53.7447395325,NaN,NaN
2012-03-10 09:00:00,86.356645584075,-53.710805416137504,NaN,NaN
2012-03-10 10:00:00,86.35577519731666,-53.676871299775,NaN,NaN
